Movie,Year,Plex Status,Source,IMDB ID,TMDB ID,Collections,Tags,Posters,,Matt,Gabe,Griffin,Dan,Andrew,Ice,Image
Andrei Rublev,1966,*****Request,,tt0060107,895,Biopic|History,Russian,,,,,,,,,
Angel and the Badman,1947,****Request,PBS,tt0039152,22356,Western|Romance,,,,,,,,,,
Angels & Demons,2009,,,tt0808151,13448,Mystery,,,,,,,,,,
Angels in the Outfield,1994,Yes,,tt0109127,24795,Sports,,,,,,,,,,
Aniara,2018,*****Request,,tt7589524,496743,SciFi|Drama,Swedish,,,,,,,,,
Animal House,1978,**Request,,tt0077975,8469,Comedy,,,,,,,,,,
Anna and the Apocalypse,2017,Arr,,tt6433880,461928,Christmas|Apocalypse|Music,,,,,,,,,,
Anna Karenina,2012,***Request,,tt1781769,96724,Romance,,,,,,,,,,
Annie,1982,Yes,,tt0083564,15739,Music,,,,,,,,,,
Annie Hall,1977,Yes,,tt0075686,703,RomCom,,,,0,,,,,,
Annihilation,2018,Yes,,tt2798920,300668,SciFi,,,,,,,,,,
Anomalisa,2015,****Request,,tt2401878,291270,3D Animation,,,,,,,,,,
Another Earth,2011,***Request,,tt1549572,55420,Drama|SciFi,,,,,,,,,,
Another Round,2020,Yes,,tt10288566,580175,Comedy,,,,,,,,,,
Ant-Man,2015,Yes,,tt0478970,102899,Superhero,,,,,,,,,,
Ant-Man and the Wasp,2018,Yes,,tt5095030,363088,Superhero,,,,,,,,,,
Anthropoid,2016,****Request,,tt4190530,351339,History|War|Biopic,BATS,,,,,,,,,
Antlers,2021,,,tt7740510,516329,Horror,,,,,,,,,,
Antz,1998,**Request,,tt0120587,8916,3D Animation,,,,,,,,,,
Any Given Sunday,1999,*Request,,tt0146838,9563,Sports,,,,,,,,,,
Apartment 143,2011,,,tt1757742,97795,Horror,,,,,,,,,,
Apocalypse Now,1979,Yes,,tt0078788,28,War,,War,,,,,,,,
Apocalypto,2006,Yes,,tt0472043,1579,Action|Adventure|Religion,,,,,,,,,,
Apollo 10½: A Space Age Childhood,2022,Yes,,tt7978758,664996,2D Animation,,,,,,,,,,
Apollo 13,1995,Yes,,tt0112384,568,History|SciFi,,History,,,,,,,,
Apollo 18,2011,**Request,,tt1772240,50357,SciFi,,,,,,,,,,
Apology For Murder,1945,,Youtube,tt0037518,32892,Crime,Noir,,,,,,,,,
Appaloosa,2008,,,tt0800308,12690,Western,,,,,,,,,,
Appointment with Danger,1950,Yes,,tt0043292,25564,Crime,,,,,,,,,,
Aquaman,2018,Yes,,tt1477834,297802,Superhero,,,,,,,,,,
Arachnophobia,1990,**Request,,tt0099052,6488,Horror,,,,,,,,,,
Archive,2020,*****Request,,tt6882604,606234,SciFi|Drama,AI,,,,,,,,,
Argentina 1985,2022,Yes,,tt15301048,714888,Biopic|Legal|Crime|Drama,,,,,,,,,,
Argo,2012,Yes,,tt1024648,68734,Espionage|Action,,Espionage,,,,,,,,
Argylle,2024,Arr - U,,tt15009428,848538,Action|Espionage,,,,,,,,,,
Arizona,2018,,,tt2140629,490004,Comedy|Thriller,,,,,,,,,,
Armageddon,1998,****Request,,tt0120591,95,Action|Adventure|Apocalypse,Disaster,,,,,,,,,
Armageddon Time,2022,Yes,,tt10343028,615952,Drama|Politics,,,,,,,,,,
Army of Darkness,1992,Yes,,tt0106308,766,Fantasy|Horror|Time Travel,,,,,,,,,,
Army of Shadows,1969,*Request,,tt0064040,15383,,French,,,,,,,,,
Army of the Dead,2021,Yes,,tt0993840,503736,Apocalypse|Heist,,,,,,,,,,
Army of Thieves,2021,*****Request,,tt13024674,796499,Apocalypse|Heist,,,,,,,,,,
